sample_id,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,qc_pass,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
d3b63736-dbc8-4357-996b-c03711025b50,4.85,95.11,15851,39676,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.06,Usher placements: B.1.1.7(1/1)
dd880c26-8d4c-490f-8ce4-44f4b3b5b2d1,1.4,98.6,21850,44140,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(1/1)
657efbe6-1acf-4b30-9e3f-7978b36b9000,0.4,99.6,29783,63806,True,B.1.177,0.0,,,,,,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.177(1/1)
46c9812f-450d-4d93-8fe7-7a9cd2b65ffb,0.4,99.6,29764,78878,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
0ae95b08-fa09-43e7-9279-ee78d199561a,0.4,99.57,29764,39831,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PANGO-v1.9,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
23507eed-7126-4da8-a27f-d92db600e33b,0.4,99.59,29764,38585,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PANGO-v1.9,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
604e5e8a-295b-4708-90dc-a0840e8ed77b,4.78,95.22,7618,37210,True,B.1.177,0.0,,,,,,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.06,Usher placements: B.1.177(1/1)
d814faa1-5e74-4fc5-b271-f90e4d253dce,0.4,99.59,29764,55779,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(2/2)
aad0d56b-1b66-48dd-af55-99eaa7094daa,0.4,99.58,29764,53952,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
1e95956e-803d-42fd-9262-dfede1ba4a00,1.39,98.61,19213,39895,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
9a9fb21f-0241-464c-bab2-8ecb1081ca79,0.4,99.6,29783,37598,True,B.1.177,0.0,,,,,,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.177(1/1)
d1ec5c64-60e8-4600-b362-d27a7aaaa57d,0.4,99.6,29764,92870,True,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.9,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
